urn,name,postcode,postcode_district,phase,ofsted_rating
138231,Alban City School,AL1 3RR,AL1,Primary,Good
117135,Bernards Heath Infant and Nursery School,AL1 4AP,AL1,Primary,Good
117136,Camp Primary and Nursery School,AL1 5PG,AL1,Primary,Good
117279,Cunningham Hill Infant School,AL1 5QJ,AL1,Primary,Outstanding
117250,Cunningham Hill Junior School,AL1 5QJ,AL1,Primary,Outstanding
138206,Fleetville Infant and Nursery School,AL1 4LX,AL1,Primary,Outstanding
138205,Fleetville Junior School,AL1 4LW,AL1,Primary,Good
138106,Loreto College,AL1 3RQ,AL1,Secondary,
139159,Mandeville Primary School,AL1 2LE,AL1,Primary,Good
117298,Maple Primary School,AL1 3SW,AL1,Primary,Good
138582,Samuel Ryder Academy,AL1 5AR,AL1,Secondary,Good
117470,St Adrian Roman Catholic Primary School,AL1 2PB,AL1,Primary,Good
117491,St Alban & St Stephen Catholic Primary School & Nursery,AL1 5EG,AL1,Primary,Good
117140,St Peter's School,AL1 1HL,AL1,Primary,Good
117449,"The Abbey Church of England Voluntary Aided Primary School, St Albans",AL1 1DQ,AL1,Primary,Good
138042,The Marlborough Science Academy,AL1 2QA,AL1,Secondary,Good
137038,Verulam School,AL1 4PR,AL1,Secondary,Good
117683,Watling View School,AL1 2NU,AL1,Special,Good
117217,Windermere Primary School,AL1 5QP,AL1,Primary,
132105,Birchwood Avenue Primary School,AL10 0PS,AL10,Primary,Good
117069,Birchwood Nursery School,AL10 0PD,AL10,Nursery,Outstanding
137757,Bishop's Hatfield Girls' School,AL10 8NL,AL10,Secondary,Outstanding
140238,Countess Anne Church of England School,AL10 8AX,AL10,Primary,Outstanding
148040,De Havilland Primary School,AL10 8TQ,AL10,Primary,Good
117105,Green Lanes Primary School,AL10 9JY,AL10,Primary,Good
138201,Hatfield Community Free School,AL10 8ES,AL10,Primary,
117220,Howe Dell Primary School,AL10 9AH,AL10,Primary,
147451,Links Hatfield Academy,AL10 8TJ,AL10,PRU,Good
135223,Oak View Primary and Nursery School,AL10 8NW,AL10,Primary,Good
147535,Onslow St Audrey's School,AL10 8AB,AL10,Secondary,Good
130362,Southfield School,AL10 8NN,AL10,Special,Good
117469,St Philip Howard Catholic Primary School,AL10 8NN,AL10,Primary,Good
117187,Bowmansgreen Primary School,AL2 1PH,AL2,Primary,Good
117235,How Wood Primary and Nursery School,AL2 2HU,AL2,Primary,Good
135528,Killigrew Primary and Nursery School,AL2 3HD,AL2,Primary,Good
117146,London Colney Primary & Nursery School,AL2 1JG,AL2,Primary,Good
145969,Mount Pleasant Lane Primary School,AL2 3XA,AL2,Primary,Good
117452,Park Street Church of England Voluntary Aided Primary School,AL2 2LX,AL2,Primary,Good
150621,Saint Bernadette Voluntary Catholic Primary Academy,AL2 1NL,AL2,Primary,Good
117141,Aboyne Lodge Junior Mixed and Infant School,AL3 5NL,AL3,Primary,Good
117674,Batchwood School,AL3 5RP,AL3,Special,Good
